index,label
0,1
1,7
2,4
3,8
4,0
5,9
6,11
7,8
8,5
9,2
10,4
11,2
12,11
13,5
14,7
15,6
16,9
17,10
18,3
19,11
20,12
21,1
22,2
23,9
24,1
25,12
26,10
27,9
28,12
29,8
30,5
31,1
32,1
33,12
34,6
35,1
36,12
37,10
38,5
39,10
40,11
41,2
42,11
43,1
44,3
45,11
46,9
47,5
48,12
49,11
50,4
51,1
52,4
53,5
54,7
55,0
56,7
57,11
58,12
59,2
60,6
61,12
62,11
63,1
64,12
65,8
66,1
67,9
68,7
69,12
70,1
71,8
72,5
73,4
74,5
75,5
76,3
77,6
78,2
79,3
80,8
81,7
82,5
83,0
84,4
85,4
86,6
87,2
88,6
89,6
90,2
91,2
92,10
93,7
94,2
95,1
96,1
97,9
98,10
99,3
100,2
101,3
102,5
103,4
104,3
105,3
106,8
107,2
108,4
109,11
110,9
111,0
112,8
113,10
114,8
115,9
116,3
117,8
118,9
119,7
120,6
121,4
122,3
123,3
124,9
125,10
126,3
127,6
128,6
129,12
130,10
131,8
132,4
133,0
134,1
135,3
136,1
137,2
138,11
139,6
140,0
141,4
142,10
143,6
144,5
145,9
146,10
147,7
148,12
149,1
150,9
151,8
152,10
153,4
154,6
155,2
156,4
157,11
158,2
159,7
160,12
161,8
162,5
163,3
164,8
165,2
166,1
167,9
168,1
169,1
170,7
171,5
172,6
173,4
174,9
175,5
176,9
177,7
178,5
179,1
180,0
181,8
182,8
183,6
184,3
185,12
186,11
187,9
188,8
189,1
190,4
191,2
192,8
193,8
194,4
195,1
196,4
197,12
198,11
199,11
200,6
201,9
202,1
203,12
204,11
205,9
206,4
207,7
208,1
209,6
210,11
211,1
212,0
213,0
214,2
215,3
216,5
217,7
218,4
219,7
220,8
221,1
222,2
223,0
224,6
225,8
226,10
227,10
228,10
229,5
230,8
231,7
232,6
233,1
234,8
235,7
236,1
237,9
238,6
239,5
240,11
241,10
242,11
243,2
244,6
245,6
246,0
247,3
248,12
249,9
250,1
251,3
252,9
253,3
254,6
255,5
256,8
257,9
258,4
259,3
260,12
261,9
262,4
263,3
264,1
265,5
266,9
267,11
268,6
269,6
270,8
271,7
272,11
273,5
274,12
275,5
276,0
277,0
278,0
279,4
280,6
281,6
282,9
283,0
284,10
285,8
286,12
287,4
288,7
289,2
290,10
291,4
292,2
293,1
294,8
295,1
296,8
297,12
298,5
299,7
300,0
301,6
302,12
303,5
304,11
305,4
306,8
307,1
308,0
309,5
310,2
311,11
312,6
313,10
314,4
315,12
316,7
317,4
318,7
319,9
320,9
321,0
322,1
323,5
324,8
325,4
326,0
327,3
328,10
329,7
330,5
331,11
332,10
333,10
334,6
335,6
336,12
337,5
338,11
339,4
340,7
341,10
342,6
343,0
344,0
345,11
346,3
347,10
348,2
349,7
350,5
351,9
352,9
353,9
354,2
355,2
356,9
357,9
358,2
359,10
360,6
361,7
362,9
363,2
364,6
365,4
366,8
367,4
368,10
369,12
370,3
371,3
372,5
373,11
374,5
375,6
376,9
377,5
378,8
379,2
380,9
381,12
382,8
383,12
384,7
385,12
386,12
387,3
388,3
389,6
390,9
391,6
392,10
393,1
394,2
395,5
396,10
397,2
398,12
399,1
400,0
401,10
402,0
403,4
404,0
405,5
406,2
407,12
408,2
409,8
410,4
411,3
412,4
413,12
414,7
415,4
416,7
417,10
418,11
419,3
420,2
421,0
422,4
423,10
424,12
425,11
426,5
427,3
428,10
429,11
430,5
431,3
432,2
433,6
434,7
435,1
436,8
437,8
438,7
439,0
440,10
441,7
442,0
443,10
444,1
445,4
446,6
447,2
448,6
449,2
450,9
451,4
452,6
453,12
454,12
455,8
456,2
457,3
458,1
459,0
460,7
461,7
462,8
463,8
464,3
465,8
466,4
467,3
468,6
469,11
470,2
471,4
472,1
473,5
474,10
475,12
476,0
477,2
478,8
479,6
480,9
481,12
482,1
483,9
484,10
485,10
486,3
487,8
488,11
489,6
490,10
491,12
492,7
493,8
494,10
495,3
496,10
497,7
498,8
499,12
500,11
501,12
502,1
503,11
504,6
505,6
506,10
507,0
508,3
509,10
510,4
511,1
512,10
513,8
514,10
515,2
516,6
517,9
518,0
519,0
520,0
521,10
522,12
523,11
524,4
525,0
526,8
527,10
528,3
529,10
530,12
531,10
532,12
533,9
534,3
535,1
536,6
537,0
538,1
539,8
540,9
541,1
542,8
543,7
544,5
545,10
546,4
547,4
548,3
549,0
550,6
551,0
552,1
553,12
554,1
555,9
556,8
557,12
558,2
559,1
560,5
561,3
562,7
563,6
564,11
565,2
566,11
567,10
568,4
569,9
570,7
571,9
572,2
573,3
574,0
575,7
576,4
577,2
578,3
579,5
580,7
581,9
582,3
583,12
584,1
585,10
586,8
587,11
588,7
589,8
590,1
591,11
592,7
593,11
594,5
595,2
596,7
597,5
598,0
599,0
600,12
601,1
602,10
603,8
604,10
605,6
606,4
607,4
608,0
609,11
610,8
611,5
612,2
613,9
614,8
615,10
616,10
617,9
618,6
619,9
620,7
621,6
622,6
623,4
624,9
625,10
626,1
627,9
628,4
629,6
630,10
631,8
632,1
633,6
634,8
635,8
636,7
637,10
638,0
639,3
640,12
641,8
642,2
643,7
644,1
645,11
646,4
647,2
648,10
649,7
650,12
651,9
652,6
653,3
654,4
655,8
656,2
657,3
658,4
659,2
660,0
661,2
662,12
663,10
664,0
665,0
666,2
667,6
668,3
669,5
670,12
671,1
672,10
673,1
674,3
675,1
676,6
677,8
678,3
679,12
680,6
681,0
682,11
683,9
684,3
685,2
686,11
687,11
688,1
689,7
690,2
691,4
692,7
693,0
694,7
695,10
696,8
697,8
698,3
699,7
700,0
701,9
702,4
703,7
704,3
705,0
706,12
707,5
708,9
709,8
710,10
711,1
712,9
713,6
714,2
715,3
716,1
717,4
718,6
719,8
720,5
721,12
722,4
723,3
724,12
725,4
726,9
727,6
728,11
729,11
730,6
731,9
732,10
733,12
734,1
735,7
736,12
737,12
738,8
739,4
740,1
741,4
742,7
743,9
744,2
745,1
746,10
747,10
748,1
749,7
750,7
751,6
752,10
753,6
754,5
755,7
756,11
757,10
758,11
759,2
760,7
761,10
762,6
763,4
764,8
765,10
766,11
767,7
768,8
769,2
770,5
771,10
772,10
773,2
774,12
775,12
776,12
777,6
778,8
779,12
780,11
781,11
782,4
783,3
784,9
785,4
786,7
787,4
788,7
789,11
790,12
791,5
792,8
793,12
794,10
795,2
796,1
797,0
798,8
799,4
800,9
801,3
802,3
803,0
804,3
805,4
806,5
807,6
808,11
809,7
810,1
811,12
812,11
813,12
814,1
815,1
816,5
817,1
818,6
819,3
820,12
821,4
822,10
823,2
824,10
825,8
826,5
827,8
828,3
829,9
830,2
831,9
832,5
833,11
834,6
835,6
836,11
837,9
838,6
839,9
840,3
841,10
842,11
843,1
844,9
845,5
846,5
847,10
848,9
849,7
850,0
851,3
852,4
853,1
854,12
855,10
856,7
857,7
858,10
859,9
860,3
861,5
862,9
863,5
864,2
865,2
866,1
867,8
868,0
869,6
870,2
871,11
872,8
873,0
874,7
875,1
876,0
877,7
878,5
879,1
880,10
881,4
882,11
883,5
884,6
885,3
886,1
887,4
888,4
889,6
890,0
891,4
892,1
893,1
894,3
895,4
896,5
897,3
898,1
899,6
900,1
901,11
902,6
903,5
904,1
905,2
906,9
907,8
908,6
909,8
910,1
911,8
912,1
913,9
914,1
915,10
916,2
917,10
918,11
919,2
920,5
921,12
922,7
923,9
924,2
925,4
926,1
927,5
928,10
929,4
930,8
931,7
932,12
933,11
934,6
935,1
936,4
937,9
938,0
939,2
940,1
941,12
942,11
943,8
944,4
945,4
946,6
947,0
948,0
949,12
950,1
951,8
952,8
953,4
954,1
955,5
956,5
957,9
958,11
959,7
960,11
961,8
962,8
963,2
964,7
965,2
966,5
967,12
968,4
969,2
970,12
971,1
972,10
973,7
974,1
975,2
976,5
977,2
978,7
979,4
980,6
981,1
982,2
983,7
984,5
985,0
986,7
987,12
988,3
989,8
990,12
991,8
992,2
993,10
994,9
995,11
996,10
997,2
998,3
999,4
1000,11
1001,5
1002,7
1003,1
1004,5
1005,3
1006,0
1007,2
1008,0
1009,0
1010,0
1011,11
1012,8
1013,11
1014,5
1015,1
1016,11
1017,7
1018,10
1019,4
1020,9
1021,1
1022,12
1023,0
1024,10
1025,7
1026,9
1027,8
1028,10
1029,6
1030,3
1031,9
1032,5
1033,1
1034,1
1035,1
1036,4
1037,2
1038,12
1039,9
1040,10
1041,10
1042,11
1043,7
1044,4
1045,10
1046,10
1047,2
1048,8
1049,9
1050,8
1051,5
1052,5
1053,8
1054,8
1055,9
1056,12
1057,2
1058,4
1059,1
1060,7
1061,9
1062,6
1063,3
1064,6
1065,3
1066,2
1067,4
1068,12
1069,1
1070,3
1071,5
1072,2
1073,11
1074,3
1075,5
1076,7
1077,6
1078,7
1079,6
1080,5
1081,9
1082,11
1083,2
1084,12
1085,1
1086,4
1087,6
1088,6
1089,0
1090,6
1091,8
1092,7
1093,2
1094,1
1095,9
1096,3
1097,8
1098,2
1099,12
1100,12
1101,9
1102,12
1103,6
1104,9
1105,2
1106,12
1107,7
1108,7
1109,6
1110,3
1111,11
1112,12
1113,6
1114,0
1115,12
1116,9
1117,3
1118,11
1119,4
1120,7
1121,1
1122,7
1123,9
1124,10
1125,6
1126,4
1127,12
1128,9
1129,7
1130,11
1131,7
1132,5
1133,2
1134,11
1135,7
1136,12
1137,2
1138,6
1139,7
1140,6
1141,6
1142,2
1143,11
1144,6
